session_id,step_id,step_name,bank_name,created_at,updated_at,load_created_at
1,1,INITIATED_LIGHTBOX,,2024-08-20 12:18:49,2024-08-20 12:21:49,2024-08-20 12:22:49
1,2,SELECT_BANK,,2024-08-20 12:19:49,2024-08-20 12:20:49,2024-08-20 12:21:49
2,3,INITIATED_LIGHTBOX,,2024-12-15 18:40:25,2024-12-15 18:41:25,2024-12-15 18:42:25
2,4,SELECT_BANK,,2024-12-15 18:42:25,2024-12-15 18:45:25,2024-12-15 18:46:25
2,5,LOGIN_ATTEMPT,BNP Paribas,2024-12-15 18:46:25,2024-12-15 18:48:25,2024-12-15 18:49:25
2,6,AUTHORIZATION,BNP Paribas,2024-12-15 18:50:25,2024-12-15 18:53:25,2024-12-15 18:54:25
4,7,INITIATED_LIGHTBOX,,2024-11-07 08:26:30,2024-11-07 08:27:30,2024-11-07 08:28:30
4,8,SELECT_BANK,,2024-11-07 08:28:30,2024-11-07 08:31:30,2024-11-07 08:32:30
4,9,LOGIN_ATTEMPT,Barclays,2024-11-07 08:33:30,2024-11-07 08:38:30,2024-11-07 08:39:30
4,10,AUTHORIZATION,Barclays,2024-11-07 08:38:30,2024-11-07 08:41:30,2024-11-07 08:42:30
5,11,INITIATED_LIGHTBOX,,2024-06-12 06:12:54,2024-06-12 06:13:54,2024-06-12 06:14:54
5,12,SELECT_BANK,,2024-06-12 06:16:54,2024-06-12 06:17:54,2024-06-12 06:18:54
5,13,LOGIN_ATTEMPT,Deutsche Bank,2024-06-12 06:19:54,2024-06-12 06:20:54,2024-06-12 06:21:54
5,14,AUTHORIZATION,Deutsche Bank,2024-06-12 06:21:54,2024-06-12 06:25:54,2024-06-12 06:26:54
7,15,INITIATED_LIGHTBOX,,2024-06-01 13:40:07,2024-06-01 13:44:07,2024-06-01 13:45:07
7,16,SELECT_BANK,,2024-06-01 13:43:07,2024-06-01 13:44:07,2024-06-01 13:45:07
7,17,LOGIN_ATTEMPT,BNP Paribas,2024-06-01 13:46:07,2024-06-01 13:51:07,2024-06-01 13:52:07
7,18,AUTHORIZATION,BNP Paribas,2024-06-01 13:49:07,2024-06-01 13:53:07,2024-06-01 13:54:07
8,19,INITIATED_LIGHTBOX,,2024-01-26 04:33:58,2024-01-26 04:37:58,2024-01-26 04:38:58
8,20,SELECT_BANK,,2024-01-26 04:35:58,2024-01-26 04:40:58,2024-01-26 04:41:58
9,21,INITIATED_LIGHTBOX,,2024-02-21 16:18:41,2024-02-21 16:20:41,2024-02-21 16:21:41
9,22,SELECT_BANK,,2024-02-21 16:21:41,2024-02-21 16:25:41,2024-02-21 16:26:41
9,23,LOGIN_ATTEMPT,HSBC,2024-02-21 16:22:41,2024-02-21 16:25:41,2024-02-21 16:26:41
9,24,AUTHORIZATION,HSBC,2024-02-21 16:25:41,2024-02-21 16:30:41,2024-02-21 16:31:41
10,25,INITIATED_LIGHTBOX,,2023-09-21 23:14:40,2023-09-21 23:16:40,2023-09-21 23:17:40
10,26,SELECT_BANK,,2023-09-21 23:17:40,2023-09-21 23:18:40,2023-09-21 23:19:40
10,27,LOGIN_ATTEMPT,Bank of America,2023-09-21 23:20:40,2023-09-21 23:21:40,2023-09-21 23:22:40
10,28,AUTHORIZATION,Bank of America,2023-09-21 23:24:40,2023-09-21 23:26:40,2023-09-21 23:27:40
11,29,INITIATED_LIGHTBOX,,2024-02-06 23:00:34,2024-02-06 23:03:34,2024-02-06 23:04:34
11,30,SELECT_BANK,,2024-02-06 23:03:34,2024-02-06 23:05:34,2024-02-06 23:06:34
12,31,INITIATED_LIGHTBOX,,2024-01-10 02:56:31,2024-01-10 02:57:31,2024-01-10 02:58:31
12,32,SELECT_BANK,,2024-01-10 02:58:31,2024-01-10 03:03:31,2024-01-10 03:04:31
12,33,LOGIN_ATTEMPT,Deutsche Bank,2024-01-10 03:01:31,2024-01-10 03:06:31,2024-01-10 03:07:31
12,34,AUTHORIZATION,Deutsche Bank,2024-01-10 03:05:31,2024-01-10 03:10:31,2024-01-10 03:11:31
13,35,INITIATED_LIGHTBOX,,2024-03-17 07:41:01,2024-03-17 07:46:01,2024-03-17 07:47:01
13,36,SELECT_BANK,,2024-03-17 07:45:01,2024-03-17 07:50:01,2024-03-17 07:51:01
13,37,LOGIN_ATTEMPT,BNP Paribas,2024-03-17 07:50:01,2024-03-17 07:51:01,2024-03-17 07:52:01
13,38,AUTHORIZATION,BNP Paribas,2024-03-17 07:52:01,2024-03-17 07:54:01,2024-03-17 07:55:01
